Location_ID,Location_Name,Location_Setting,Location_Setting_Description,Location_Description,Ecology_Facility_Site_ID,Is_Location_a_Well,Address,City,State,Zip_Code,County,Watershed_WRIA,Ecology_Region,US_Congressional_District,State_Legislative_District,NHD_Reach_Code,NHD_Reach_Measure,NHD_Edit_Date,Calculated_Latitude_Decimal_Degrees_NAD83HARN,Calculated_Longitude_Decimal_Degrees_NAD83HARN,Horizontal_Coordinates_Represent,Horizontal_Coordinate_Accuracy,Horizontal_Coordinate_Collection_Method,Paper_Map_Scale,Township_Number,Township_Direction,Range_Number,Range_Direction,Section_Number,Quarter_Section_Township_Range,Quarter_Quarter_Section_Township_Range,Elevation_of,Elevation,Elevation_Units,Elevation_Datum,Elevation_Accuracy,Elevation_Collecton_Method,Sediment_Elevation_Elevation_Reference,Location_Suspect_or_Rejected_Flag,Location_Suspect_Code,Location_Suspect_Description,Location_ID_Alias,Associated_Study_ID,Record_Created_On,Location_System_ID
RSR837,RSR837,ESTUARY,"Area where fresh and salt water intermix, like bay, lagoon, etc",Strait of Georgia: Rosario Strait - Peapod Rock,,N,,,WA,,San Juan,San Juan,Northwest Regional Office,2,40,,,,48.61649,-122.76296,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,"Collias, MarineWater, MarineWater-P",8/11/2016 18:22,100046837
BLL011,BLL011,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Bellingham Bay - Off Nooksack River,,N,,,WA,,Whatcom,Nooksack,Northwest Regional Office,1,42,,,,48.73333565,-122.5833152,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,MarineWater,8/11/2016 18:21,100046769
BUD002,BUD002,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Budd Inlet - South End Oly Port,,N,,,WA,,Thurston,Deschutes,Southwest Regional Office,10,22,,,,47.05149053,-122.9062649,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,MarineWater,8/11/2016 18:21,100046772
CMB006,CMB006,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Commencement Bay - Mouth of City WW,,N,,,WA,,Pierce,Puyallup-White,Southwest Regional Office,9,27,,,,47.26167559,-122.4367148,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,MarineWater,8/11/2016 18:21,100046775
CSE002,CSE002,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Case Inlet - Off Rocky Point,,N,,,WA,,Mason,Kitsap,Southwest Regional Office,6,35,,,,47.35333555,-122.8133149,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,MarineWater,8/11/2016 18:21,100046778
DIS001,DIS001,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Discovery Bay - Near Mill Point,,N,,,WA,,Jefferson,Quilcence-Snow,Southwest Regional Office,6,24,,,,48.01815558,-122.8479651,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,MarineWater,8/11/2016 18:21,100046779
DRA002,DRA002,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Drayton Harbor - Inner Harbor,,N,,,WA,,Whatcom,Nooksack,Northwest Regional Office,1,42,,,,48.98317564,-122.7629653,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,MarineWater,8/11/2016 18:21,100046781
DUN001,DUN001,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Dungeness Bay,,N,,,WA,,Clallam,Elwah-Dungeness,Southwest Regional Office,6,24,,,,48.17330556,-123.1133152,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,MarineWater,8/11/2016 18:21,100046782
DYE004,DYE004,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Dyes Inlet - NE of Chico Bay,,N,,,WA,,Kitsap,Kitsap,Northwest Regional Office,6,23,,,,47.62333558,-122.688315,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,MarineWater,8/11/2016 18:21,100046783
EAG001,EAG001,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Eagle Harbor - Inner,,N,,,WA,,Kitsap,Kitsap,Northwest Regional Office,6,23,,,,47.6217056,-122.5217149,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,MarineWater,8/11/2016 18:21,100046784
