FAC_ID,FAC_NAME,FAC_TYPE,FAC_LAT,FAC_LON,REC_WATER,NHD_COMID,TN_COUNT,TP_COUNT,FAC_START,FACT_END
WAG131061,NORTH FORK SKOKOMISH SALMON HATCHERY,sic_0921,47.398,-123.197,North Fork Skokomish River,24285510,60,60,200501,202012
WA0000761,Tesoro Refining & Marketing Company LLC,sic_INDU,48.508,-122.567,Fidalgo Bay,24534602,192,192,200501,202012
WA0000850,"WestRock CP, LLC",sic_INDU,47.268,-122.432,Commencement Bay,23989501,191,191,200501,202011
WA0000884,SONOCO PRODUCTS COMPANY,sic_INDU,47.212,-122.242,White River,23980805,192,192,200501,202012
WA0000922,PORT TOWNSEND PAPER CORPORATION,sic_INDU,48.088,-122.795,Port Townsend Bay,23988945,192,192,200501,202012
WA0001783,US OIL & REFINING TACOMA,sic_INDU,47.264,-122.394,Blair Waterway (Commencement Bay),947110182,192,192,200501,202012
WA0002470,DARIGOLD LYNDEN PLANT,sic_INDU,48.938,-122.454,Fishtrap Creek,23956538,192,192,200501,202012
WA0002925,McKinley Paper Company Washington Mill,sic_INDU,48.137,-123.474,Strait of Juan de Fuca,23997266,192,192,200501,202012
WA0002941,SHELL OIL PRODUCTS US Puget Sound Refining Company,sic_INDU,48.509,-122.577,Padilla Bay,24534602,192,192,200501,202012
WA0002950,INTALCO ALUMINUM CORP FERNDALE,sic_INDU,48.841,-122.72,Lummi Bay,24534512,192,192,200501,202012
WA0002984,Phillips 66 Company Ferndale Refinery,sic_INDU,48.827,-122.716,Lummi Bay,24534512,192,192,200501,202012
WA0020150,BURLINGTON WWTP,sic_4952,48.467,-122.308,Skagit River,24270290,192,192,200501,202012
WA0020257,ANACORTES WWTP,sic_4952,48.518,-122.607,Padilla Bay,24534598,192,192,200501,202012
WA0020290,STANWOOD STP,sic_4952,48.236,-122.358,Stillaguamish River,24274337,192,192,200501,202012
WA0020303,ORTING STP,sic_4952,47.109,-122.214,Carbon River,23980571,192,192,200501,202012
WA0020346,PORT ORCHARD WWTP,sic_4952,47.553,-122.611,Sinclair Inlet,23989123,192,192,200501,202012
