FAC_ID,YEAR,MONTH,TN_LOAD_KG_MO,TP_LOAD_KG_MO,FLOW_MGD,flow_source,NH4N_MG_L,NH4N_source,NO2NO3N_MG_L,NO2NO3N_source,TKN_MG_L,TKN_source,PO4_MG_L,PO4_source,TN_MG_L,TN_source,TP_MG_L,TP_source
WA0000761,2005,1,703.63,172.76,3.68,1,1.63,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,2,1271.08,125.09,2.95,1,4.06,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,3,844.36,145.53,3.1,1,2.32,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,4,953.31,163.56,3.6,1,2.33,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,5,1688.72,137.55,2.93,1,4.91,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,6,408.56,140.38,3.09,1,1.16,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,7,703.63,140.84,3,1,2,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,8,703.63,146,3.11,1,1.93,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,9,408.56,140.38,3.09,1,1.16,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,10,422.18,154.45,3.29,1,1.09,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,11,272.37,174.46,3.84,1,0.62,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2005,12,562.91,149.29,3.18,1,1.51,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,1,42.22,183.09,3.9,1,0.09,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,2,127.11,133.57,3.15,1,0.38,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,3,1125.81,132.86,2.83,1,3.39,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,4,272.37,134.93,2.97,1,0.81,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,5,717.71,119.24,2.54,1,2.41,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,6,217.9,121.3,2.67,1,0.72,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,7,661.42,121.12,2.58,1,2.18,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,8,619.2,124.88,2.66,1,1.98,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,9,326.85,140.84,3.1,1,0.93,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,10,281.45,143.66,3.06,1,0.78,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,11,1035.02,203.99,4.49,1,2.03,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2006,12,1322.83,189.19,4.03,1,2.8,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,1,534.76,206.09,4.39,1,1.04,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,2,241.51,137.81,3.25,1,0.7,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,3,126.65,164.31,3.5,1,0.31,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,4,95.33,132.21,2.91,1,0.29,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,5,168.87,131.45,2.8,1,0.51,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,6,95.33,140.38,3.09,1,0.27,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,7,70.36,144.13,3.07,1,0.2,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,8,1322.83,146,3.11,1,3.62,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,9,68.09,129.94,2.86,1,0.21,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,10,267.38,151.64,3.23,1,0.71,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,11,258.76,142.2,3.13,1,0.73,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2007,12,365.89,159.62,3.4,1,0.92,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2008,1,140.73,145.53,3.1,1,0.39,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2008,2,228.79,156.47,3.69,1,0.58,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2008,3,295.53,152.11,3.24,1,0.78,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2008,4,163.42,129.94,2.86,1,0.5,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2008,5,745.85,136.61,2.91,1,2.18,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2008,6,354.09,120.85,2.66,1,1.17,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2008,7,703.63,114.55,2.44,1,2.46,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2008,8,281.45,121.12,2.58,1,0.93,1,.,NA,.,NA,0.4,4,.,6,0.4,5
WA0000761,2008,9,272.37,117.21,2.58,1,0.93,1,.,NA,.,NA,0.4,4,.,6,0.4,5
