Inlet,ExchangeFlow,ExchangeFlow_err,VerticalTransport,VerticalTransport_err,Photosynthesis,Photosynthesis_err,Consumption,Consumption_err,d/dt(DO),d/dt(DO)_err,PhysicalResupply,PhysicalResupply_err,NetEcosystemMetabolism,NetEcosystemMetabolism_err,SepOctDeepDO[mg/L],SepOctDeepDO_err[mg/L],MeanDepth[m],DOin-DOdeep[mg/L],DOin-DOdeep_err[mg/L],Inflow no normalization [kmol/s],Inlet volume [m3]
Crescent Harbor,1.4778553766915155,0.4504707698666002,-1.6593783170248013,0.48160853017301486,0.21124637991391798,0.053418959220228844,-0.06348637302567514,0.013535477792891739,-0.033762933445042116,0.07398655543101706,-0.18152294033328492,0.07969401080873431,0.14776000688824284,0.0431164310139184,5.979842202334818,0.6338954604340618,14.566607985584799,-0.050801219863389833,0.3064226304999279,0.06052905797800294,121034594.17088163
Penn Cove,0.8257161414658637,0.27214295177254955,-0.9896702477966663,0.314607164090276,0.20264720025599403,0.05110835905196416,-0.07522574755202222,0.009750403761359137,-0.03653265362683057,0.10523325370427443,-0.16395410633080246,0.11654289443071753,0.12742145270397187,0.04635398503990176,5.6909445294386805,0.6282593900650084,19.108720008216853,0.29677409765029367,0.5178553816951027,0.0538469581309338,192134381.23646456
Port Susan,0.18372706144193438,0.050971265182811976,-0.20998356599540413,0.07055788558090942,0.030526128840745362,0.006126336294699403,-0.036921423303042177,0.004423634826774067,-0.03265179901576657,0.03792242236826732,-0.026256504553469756,0.03791525118447075,-0.006395294462296818,0.004357663292529729,4.502629791117477,0.19355976378752557,46.762469456109464,0.7323866883403461,0.5446328548745047,0.2998838375264768,4895187053.129112
Holmes Harbor,0.5024825584539403,0.14432040100450746,-0.5138116442135582,0.15377914455234198,0.03210566095620333,0.007755512247726426,-0.05305188667573303,0.0043865391735926195,-0.03227531147914736,0.0640740774190425,-0.011329085759617679,0.06566576889676941,-0.020946225719529706,0.006803741526747778,4.3675754627647985,0.34774698419958533,42.511840290931026,2.571827663713579,0.7612205516459024,0.12883489948808516,800237690.4562441
Dabob Bay,0.09749898625956142,0.04088944231145248,-0.11641800226380285,0.03871300507580713,0.0164981092720898,0.003802242851581079,-0.01693603826084437,0.0008823280483846786,-0.019356944992995978,0.029859156302542773,-0.018919016004241406,0.02906406468262186,-0.0004379289887545685,0.0034603089752650662,3.383017244207456,0.13981813047070857,105.77868242792948,1.5951749463466245,0.872295997945845,0.17300604655257534,5142106408.677154
Dyes Inlet,1.275969046465999,0.37263896237039973,-1.4249755727561906,0.423994587522987,0.2197412358197375,0.05218811511878185,-0.11523533897633306,0.026560937889851994,-0.04450062944678742,0.07336358109745149,-0.14900652629019182,0.05796600376175231,0.10450589684340443,0.032765392846163324,7.307811242768261,0.31519247601106587,12.902302259726287,-0.6049720793772826,0.2163917714521883,0.06454826665865306,164577667.4454829
Sinclair Inlet,2.9430961047496953,1.1743817299692536,-3.1342044861684446,1.1907165103140989,0.2609205292642131,0.06426705947539829,-0.11785451113231399,0.028636318759633756,-0.04804236328685004,0.09213920492286454,-0.19110838141874917,0.0859729990057064,0.14306601813189915,0.04245638361857932,6.889786521947153,0.31460254540807586,12.30385813015023,-0.04745342122563543,0.5344740622095715,0.07107031402224599,78635606.5318507
Elliott Bay,0.4604029865043659,0.09434846834688596,-0.518536392713465,0.12380864954161369,0.06458887836026271,0.016951874003740822,-0.03538164420097914,0.006372382980968656,-0.02892617204981556,0.059504764870751875,-0.05813340620909914,0.055947941258811584,0.029207234159283568,0.012747900101732294,5.388188568568256,0.13997560544838908,50.93360779051154,0.5644252489069512,0.40795390016302646,0.248725356089168,1521309463.1181695
Lynch Cove,0.2094182135004553,0.04965876781816372,-0.25721626742703974,0.08158728114762785,0.06879076787121141,0.019328910645414366,-0.058522102022405084,0.007051512486112713,-0.03752938807777798,0.06884933605439447,-0.04779805392658433,0.06930532290830956,0.010268665848806351,0.014366427564947592,1.8502083806228486,0.25113908135205903,24.948729117726355,2.122991979348897,0.8588042568688996,0.044614362478874285,737937885.3096776
Case Inlet,0.5308343062615537,0.16090514637469655,-0.6097058475437444,0.26021664857912935,0.1271780814899886,0.028630317226600744,-0.07748897199719626,0.013581067487671055,-0.0291824317893982,0.12706332020040179,-0.07887154128219055,0.12159090474452755,0.04968910949279233,0.020187191127320325,6.363954031500262,0.3206687394098188,23.973304588580433,0.7855839629917148,1.0787138133898444,0.09074468108325227,526654635.80480415
Carr Inlet,0.32776782144789546,0.08974462910328664,-0.37962665420355074,0.13331410815173225,0.06807394114263723,0.018908802585975718,-0.046712319672994815,0.008229318764746432,-0.03049721128601291,0.05806626159137457,-0.0518588327556553,0.05687794214067817,0.0213616214696424,0.012813245842959016,5.652044825161286,0.19859106375081542,42.249769843474674,0.3944890818691108,0.48123237921799017,0.19795096220068498,1764112606.2361343
Quartermaster Harbor,1.3020967092990066,0.46893487771463027,-1.4116260315304867,0.48525463265546875,0.18970773328551196,0.047100467947971444,-0.12650461412467381,0.02760981259867838,-0.04632620307064231,0.16525463341586924,-0.10952932223148047,0.15374895796652313,0.06320311916083816,0.03073126183388568,6.46677065352626,0.34630056541243215,12.901558825916501,-0.20439190893706521,0.6786358527229226,0.04653464056624799,129020835.70867847
Commencement Bay,0.5010424529231257,0.17727997080206417,-0.5415093964632826,0.17508122564229997,0.039270788412292486,0.01010470064182762,-0.027047590438824955,0.003530506767023636,-0.02820447176003305,0.04219587487980346,-0.040466943540156744,0.04172359285744818,0.01222319797346754,0.00775610646165283,5.050608887107725,0.1488011613173442,66.93813258337221,0.01973172357961593,0.32707765651411513,0.3114164019862765,1737589208.3876977
All inlets,0.8183005973434548,0.7513097569550626,-0.9051278789308027,0.8035933476413486,0.11779195652960042,0.08373980403775352,-0.0654129662602337,0.03430178696764666,-0.03444527025593078,0.007794266907592081,-0.08682728158734797,0.06197662039288365,0.05237899026936674,0.0570425370750935,5.299490949312713,1.4396075151020506,36.606121792940755,0.6289051356418276,0.9052406338913944,,
