Inlet,ExchangeFlow,ExchangeFlow_err,VerticalTransport,VerticalTransport_err,Photosynthesis,Photosynthesis_err,Consumption,Consumption_err,d/dt(DO),d/dt(DO)_err,PhysicalResupply,PhysicalResupply_err,NetEcosystemMetabolism,NetEcosystemMetabolism_err,SepOctDeepDO[mg/L],SepOctDeepDO_err[mg/L],MeanDepth[m],DOin-DOdeep[mg/L],DOin-DOdeep_err[mg/L],Inflow no normalization [kmol/s],Inlet volume [m3]
Crescent Harbor,5.531977428891318,1.672773839607956,-5.390832175083079,1.6389574306514445,0.02443153233440767,0.007690811139418538,-0.19324913681398115,0.040837492802095345,-0.02767235067133396,0.0441528572536772,0.14114525380823947,0.05824676668219448,-0.16881760447957342,0.040363085628794065,4.735242689525634,0.6132374236160302,14.566607985584799,1.1437997008899132,0.4024132710104556,0.06052905797800294,121034594.17088163
Penn Cove,1.6408316571822528,0.5373673900347765,-1.5760628376875019,0.5304307129048892,0.027739176411513793,0.007172381112944232,-0.13001193957266205,0.016254747059042427,-0.0375039436663977,0.0740609454606665,0.06476881949475059,0.07438735632330641,-0.10227276316114829,0.02115590385959379,4.22274052192016,0.7335810541160531,19.108720008216853,1.7231914933336392,0.636705723943399,0.0538469581309338,192134381.23646456
Port Susan,0.23064058661636982,0.06397593474341022,-0.22030661318520128,0.06789386866215807,0.000387996805382569,0.00012414988188019798,-0.03996101521771408,0.004715282241225478,-0.02923904498116294,0.020178265836010192,0.010333973431168559,0.018874603367767508,-0.0395730184123315,0.004711060484787978,4.047993140701393,0.10207596296972175,46.762469456109464,1.3294036886509275,0.563408033753944,0.2998838375264768,4895187053.129113
Holmes Harbor,0.6127553381841966,0.17607905954013772,-0.5900685616593644,0.18059469335922576,0.002784931188549477,0.0009938822851548717,-0.058685905556335516,0.004938467687010264,-0.033214197842953735,0.032103268901269875,0.02268677652483231,0.03204957266794909,-0.055900974367786044,0.0045065051947175555,3.80756277647743,0.33471743692123423,42.511840290931026,3.2402250728408286,0.7704483796956688,0.12883489948808516,800237690.456244
Dabob Bay,0.13022750011154346,0.054611979776838834,-0.12176902403500749,0.05488537724998595,6.426903367054961e-06,1.8181249649524917e-06,-0.016540434388709856,0.0009424556091661244,-0.008075531408806803,0.009079999540967502,0.008458476076536003,0.008735520697768394,-0.0165340074853428,0.0009417523309330475,2.9562137522498713,0.21537709895027624,105.77868242792948,2.5394088150441916,0.8650762391162871,0.17300604655257534,5142106408.677154
Dyes Inlet,1.7910695179419243,0.5211655534275812,-1.8170279256211879,0.5560016024016288,0.14163670886406543,0.026544997581436098,-0.1551770850441276,0.03583954663659764,-0.039498783859325884,0.052421430039007004,-0.025958407679263718,0.05083200298562558,-0.01354037618006218,0.023977497084219413,7.189215080368745,0.26267101154144834,12.902302259726287,-0.35775130157086826,0.28965937898167765,0.06454826665865306,164577667.4454829
Sinclair Inlet,4.938982408350005,1.9570864523553608,-4.970824852151497,1.9479449101837256,0.17261870750621366,0.03654693627457532,-0.18262742695820536,0.045173375542108686,-0.04185116325348381,0.07346087558938968,-0.031842443801492246,0.07152327621856723,-0.010008719451991596,0.029317264578962218,6.663894323188618,0.26998376664132345,12.30385813015023,0.3904509146520016,0.6251098932590842,0.07107031402224599,78635606.5318507
Elliott Bay,0.48486482624384963,0.09912382636657617,-0.5116655649333512,0.12253336493904564,0.036710123463968757,0.00914194405220324,-0.03663332457452644,0.006548097280581596,-0.026723939800059347,0.054000891944612155,-0.026800738689501658,0.05035520590409377,7.679888944231241e-05,0.006336485646859328,5.27558070556739,0.12394765609075,50.93360779051154,0.7343083159669864,0.4077320498672405,0.248725356089168,1521309463.1181695
Lynch Cove,0.25330475257267027,0.06008920257713602,-0.24102778031588495,0.06355181662591712,0.024841917324068978,0.007644074892450323,-0.06684686965065816,0.008453430837311078,-0.029727980069803813,0.03631674525503819,0.012276972256785382,0.03596666808413675,-0.042004952326589184,0.004704120095286365,1.3233382019001565,0.11655657091176355,24.948729117726355,2.9710382453279514,0.8655181887879536,0.044614362478874285,737937885.3096776
Case Inlet,0.743239814846725,0.22525403295014435,-0.6974535541951915,0.2770567100554722,0.03165828223411417,0.006182115555530598,-0.09956661541367906,0.017360247958214448,-0.02212207252803169,0.08708940451214911,0.045786260651533205,0.08681175153834599,-0.06790833317956488,0.014931226897711928,5.901252331315533,0.37483950315126685,23.973304588580433,1.6430211012866607,1.1120951555070044,0.09074468108325227,526654635.80480415
