Inlet,ExchangeFlow,ExchangeFlow_err,VerticalTransport,VerticalTransport_err,Photosynthesis,Photosynthesis_err,Consumption,Consumption_err,d/dt(DO),d/dt(DO)_err,PhysicalResupply,PhysicalResupply_err,NetEcosystemMetabolism,NetEcosystemMetabolism_err,SepOctDeepDO[mg/L],SepOctDeepDO_err[mg/L],MeanDepth[m],DOin-DOdeep[mg/L],DOin-DOdeep_err[mg/L],Inflow no normalization [kmol/s],Inlet volume [m3]
Crescent Harbor,5.051439273452361,1.5285135582925755,-4.928124357550809,1.5019629287836056,0.027797137946786548,0.008457059539297927,-0.178297534720856,0.03716244916518585,-0.027185480872516495,0.04742921021093692,0.12331491590155298,0.05748944576308921,-0.15050039677406946,0.03643236005292822,4.780277396163746,0.6218483715912089,14.566607985584799,1.1014997383758032,0.4003771868827101,0.06052905797800294,121034594.17088163
Penn Cove,5.3924290687160505,1.765239570154642,-5.077173137375736,1.7392081129941677,0.003941107241740557,0.0013227282393551748,-0.353066902319633,0.044931210452357144,-0.03386986373757599,0.07061407239865501,0.31525593134031654,0.07191405643091571,-0.3491257950778924,0.04558793208315718,3.544012094206944,0.5515443151748625,19.108720008216853,2.409234882448821,0.6102784833770363,0.0538469581309338,192134381.23646456
Port Susan,0.26366357933497675,0.07313988358533108,-0.24927838051816625,0.07488505526189776,4.4951785324497486e-05,1.5191828866222681e-05,-0.04180806107432287,0.0049987268707417125,-0.02737791047218792,0.015574379924122896,0.014385198816810461,0.013837043881898393,-0.04176310928899838,0.004999260328651765,4.000324154821353,0.08819595768591906,46.762469456109464,1.4390341746281965,0.5742967376914102,0.2998838375264768,4895187053.129113
Holmes Harbor,0.9281855089427895,0.2667187760533335,-0.883291904267256,0.26663819366747527,0.00011314096209271819,4.38497391981558e-05,-0.07264771694591363,0.006652366788635412,-0.027640971308287663,0.0264420822867787,0.04489360467553325,0.026098808165831038,-0.0725345759838209,0.006628560486018603,3.551881432704929,0.21844131212902804,42.511840290931026,3.625904426148919,0.7676149478919672,0.12883489948808516,800237690.4562441
Dabob Bay,0.15495286572318526,0.06499164167925557,-0.14422921605619893,0.06209086403468892,4.989125089142395e-07,1.0782694221128861e-07,-0.016423933195907008,0.0009425931812193723,-0.0056997846164117535,0.008413978512673056,0.010723649666986336,0.007999652240845787,-0.01642343428339809,0.0009425936213994832,2.940940123807177,0.2701622249948789,105.77868242792948,2.675785148921728,0.8714950050930842,0.17300604655257534,5142106408.677154
Dyes Inlet,1.989716228567487,0.5790951655481986,-1.9815100601522713,0.6067329961039125,0.12352315297776977,0.022611041936103218,-0.17001358085275983,0.039272631064549667,-0.038284259459773956,0.047082716147363944,0.008206168415216082,0.05349584909912791,-0.046490427874990026,0.029536427735861175,7.150232950169619,0.24825358110953338,12.902302259726287,-0.2839433235396654,0.31875359032871353,0.06454826665865306,164577667.4454829
Sinclair Inlet,7.231552964227097,2.8604147558745874,-7.150253489515737,2.8378392900179223,0.1314805539601421,0.027607434928107088,-0.25247487342685493,0.06299062974278578,-0.03969484475535509,0.07614725073091788,0.08129947471135773,0.09363913210225387,-0.12099431946671278,0.05093013748970583,6.559807197272581,0.2602794125030635,12.30385813015023,0.5800602648061852,0.683148648900673,0.07107031402224599,78635606.5318507
Elliott Bay,0.6451722495710522,0.1318730923097529,-0.6239691163565996,0.1295864523485819,0.0006204325881155537,0.0001633120105088608,-0.041581385037509036,0.007187009724294906,-0.019757819234940906,0.028239551865250637,0.021203133214452594,0.027087192101627345,-0.04096095244939348,0.007154921071583858,4.935832899042186,0.07700518003754757,50.93360779051154,1.3010684007115612,0.4505953014434381,0.248725356089168,1521309463.1181695
Lynch Cove,0.3343339478313102,0.07930009687077175,-0.2809133376326963,0.07531372037331642,0.005850291976210352,0.0020797385350849037,-0.07988717284853214,0.010726075247739239,-0.020616270673707963,0.020006410103042993,0.0534206101986138,0.02038452436991808,-0.07403688087232176,0.009098035271075734,1.1390477029402508,0.05771100840697679,24.948729117726355,3.4301130165704645,0.8824480480287414,0.044614362478874285,737937885.3096776
Case Inlet,0.950961487333771,0.28814964217132233,-0.863564132336361,0.3108308379048199,0.013371126612207605,0.003022328003440628,-0.11890638437192531,0.020804690768096167,-0.01813790276230769,0.05816303484304835,0.08739735499741003,0.05984308485193005,-0.10553525775971771,0.01973208624798556,5.686528422867911,0.40263775607099317,23.973304588580433,2.040232030875325,1.1282990337230014,0.09074468108325227,526654635.80480415
