Inlet,ExchangeFlow,ExchangeFlow_err,VerticalTransport,VerticalTransport_err,Photosynthesis,Photosynthesis_err,Consumption,Consumption_err,d/dt(DO),d/dt(DO)_err,PhysicalResupply,PhysicalResupply_err,NetEcosystemMetabolism,NetEcosystemMetabolism_err,SepOctDeepDO[mg/L],SepOctDeepDO_err[mg/L],MeanDepth[m],DOin-DOdeep[mg/L],DOin-DOdeep_err[mg/L],Inflow no normalization [kmol/s],Inlet volume [m3]
Crescent Harbor,1.5224057329725775,0.4637922764034101,-1.690607389049877,0.4916741758307888,0.20014927960890766,0.049929030851592233,-0.06515504711245453,0.013868414480532493,-0.033207423580846794,0.07056226386027677,-0.16820165607729998,0.07694323553489471,0.13499423249645315,0.039335760965890844,5.928077406027362,0.6375651589637449,14.566607985584799,0.002603786513166241,0.3114616492570433,0.06052905797800294,121034594.17088163
Penn Cove,0.8457080722385737,0.2783138940651168,-0.9928950851397716,0.3156817715145977,0.18766185238060681,0.04511553041208919,-0.07681208226459565,0.00996305140968427,-0.03633724278518648,0.10239244967445865,-0.14718701290119768,0.11138814425473276,0.1108497701160112,0.040764998418297775,5.620056135046748,0.638653159575716,19.108720008216853,0.3674055040730344,0.524316644659401,0.0538469581309338,192134381.23646456
Port Susan,0.18621887246489138,0.05164929967464801,-0.20582463188406402,0.0699891630295043,0.02436244615244202,0.004935635392574615,-0.03715561518295282,0.004441993427492921,-0.032398928449683444,0.03672690132643058,-0.019605759419172638,0.03652249265380573,-0.012793169030510797,0.003977047595434431,4.45081414842684,0.1892074410986255,46.762469456109464,0.7941020564132556,0.5429927789046815,0.2998838375264768,4895187053.129113
Holmes Harbor,0.5092615279121788,0.14623842503117462,-0.5148909773991954,0.15497914962897075,0.026699321506844786,0.00671912834109758,-0.05346043123851439,0.004424327443684198,-0.03239055921868619,0.06239642414694006,-0.005629449487016569,0.06340480087582286,-0.0267611097316696,0.006058082192462655,4.310809505069403,0.3507777541507522,42.511840290931026,2.6398836924048075,0.76145907712202,0.12883489948808516,800237690.4562441
Dabob Bay,0.10256128694411848,0.043015981612179524,-0.10711238488370396,0.0388530259948881,0.004155991602919559,0.001542448270544177,-0.01712209058995387,0.0009314322690472111,-0.017517196926619783,0.02321160414336628,-0.00455109793958547,0.022980795728059594,-0.012966098987034314,0.001210323013399742,3.1349080357689494,0.14575193098407685,105.77868242792948,1.9667613217849007,0.8657369867246506,0.17300604655257534,5142106408.677154
Dyes Inlet,1.254718225413066,0.3674088908407553,-1.410825582691558,0.41885156002342744,0.22454518387195663,0.05400609819825494,-0.11349426246966504,0.026183627602499343,-0.04505643587619997,0.07461320377682316,-0.15610735727849157,0.0588817659744992,0.11105092140229157,0.03483495039827279,7.315171534781487,0.31850634147613227,12.902302259726287,-0.6200878775411742,0.21374896166389326,0.06454826665865306,164577667.4454829
Sinclair Inlet,2.704669744776147,1.0866706055345754,-2.9238785535261145,1.1060453907912722,0.2787148907947268,0.07142608561815156,-0.10928165784006988,0.02656366579338538,-0.04977557579531089,0.0900285781657531,-0.2192088087499678,0.08749483352782127,0.16943323295465687,0.05168718222956883,6.939668273085604,0.3268084925084504,12.30385813015023,-0.14283923114150793,0.522284922126755,0.07107031402224599,78635606.5318507
Elliott Bay,0.47204040653080975,0.09655574734686828,-0.514025316765356,0.12295628492441375,0.050242535101734216,0.013033813996097852,-0.036021424181939564,0.006463832791662574,-0.027763799314751664,0.05667006125229445,-0.04198491023454633,0.05264430719098529,0.014221110919794657,0.00913929612781509,5.330595292804905,0.13249882813895547,50.93360779051154,0.6484145401370015,0.40690897071604376,0.248725356089168,1521309463.1181695
Lynch Cove,0.20630274840891874,0.048903031449864104,-0.26018312755287254,0.08300885608161246,0.07371710497181602,0.020288469102140643,-0.057861559816701415,0.006940574083406401,-0.03802483398883915,0.07115549735669023,-0.05388037914395376,0.07156897097896447,0.01585554515511461,0.01544810318964696,1.9179225882324016,0.26311357244452077,24.948729117726355,2.0318691323392617,0.8585460508081334,0.044614362478874285,737937885.3096776
Case Inlet,0.5619362908419335,0.17032084127036795,-0.6070072239451172,0.2666928864380945,0.09836905928879408,0.021479852086551888,-0.08106301271497203,0.014188733004946922,-0.02776488652936156,0.12581732106751223,-0.04507093310318363,0.12193674276420671,0.017306046573822068,0.014345451730779231,6.269443725143702,0.328743308432581,23.973304588580433,0.9675975078434006,1.0872129348454531,0.09074468108325227,526654635.80480415
