time,inlet,layer,DO_mgL
2017-01-01,elliott (ELB015),surface,7.920986770102611
2017-01-02,elliott (ELB015),surface,7.707528934560919
2017-01-03,elliott (ELB015),surface,7.422008970011628
2017-01-04,elliott (ELB015),surface,7.459215737021395
2017-01-05,elliott (ELB015),surface,7.444368450468522
2017-01-06,elliott (ELB015),surface,7.7948235408537485
2017-01-07,elliott (ELB015),surface,8.035220775599884
2017-01-08,elliott (ELB015),surface,7.945280092646932
2017-01-09,elliott (ELB015),surface,7.61770426093347
2017-01-10,elliott (ELB015),surface,7.755820154815142
2017-01-11,elliott (ELB015),surface,7.809070517463857
2017-01-12,elliott (ELB015),surface,7.7625674115831735
2017-01-13,elliott (ELB015),surface,7.428000890764131
2017-01-14,elliott (ELB015),surface,7.470690892414623
2017-01-15,elliott (ELB015),surface,7.395986576502591
2017-01-16,elliott (ELB015),surface,7.395446959044935
2017-01-17,elliott (ELB015),surface,7.494794568336413
2017-01-18,elliott (ELB015),surface,7.50730731822762
2017-01-19,elliott (ELB015),surface,7.752783496883234
2017-01-20,elliott (ELB015),surface,7.869404130945516
2017-01-21,elliott (ELB015),surface,7.995913609686275
2017-01-22,elliott (ELB015),surface,7.896534996053474
2017-01-23,elliott (ELB015),surface,7.995138471070527
2017-01-24,elliott (ELB015),surface,7.871426364310737
2017-01-25,elliott (ELB015),surface,7.840289628841629
2017-01-26,elliott (ELB015),surface,7.894669364251712
2017-01-27,elliott (ELB015),surface,7.878778373754169
2017-01-28,elliott (ELB015),surface,7.9762035647539795
2017-01-29,elliott (ELB015),surface,7.930238629380807
2017-01-30,elliott (ELB015),surface,7.9891409633493895
2017-01-31,elliott (ELB015),surface,7.88792148808035
2017-02-01,elliott (ELB015),surface,8.016568304037587
2017-02-02,elliott (ELB015),surface,7.855026937666102
2017-02-03,elliott (ELB015),surface,7.724763220066251
2017-02-04,elliott (ELB015),surface,8.282177637745944
2017-02-05,elliott (ELB015),surface,8.723156848892339
2017-02-06,elliott (ELB015),surface,8.593034900152253
2017-02-07,elliott (ELB015),surface,8.4313784712538
2017-02-08,elliott (ELB015),surface,8.237618426129522
2017-02-09,elliott (ELB015),surface,7.896702733460207
2017-02-10,elliott (ELB015),surface,8.179961090303813
2017-02-11,elliott (ELB015),surface,8.385557923915094
2017-02-12,elliott (ELB015),surface,8.350354962656288
2017-02-13,elliott (ELB015),surface,8.297350864706077
2017-02-14,elliott (ELB015),surface,8.244407830716696
2017-02-15,elliott (ELB015),surface,8.307906014652215
2017-02-16,elliott (ELB015),surface,8.328853832628733
2017-02-17,elliott (ELB015),surface,8.354332117487834
2017-02-18,elliott (ELB015),surface,8.558346207789416
2017-02-19,elliott (ELB015),surface,8.39328062280939
2017-02-20,elliott (ELB015),surface,8.642795559447434
2017-02-21,elliott (ELB015),surface,8.767134615605677
2017-02-22,elliott (ELB015),surface,8.71111699466252
2017-02-23,elliott (ELB015),surface,8.75645942660297
2017-02-24,elliott (ELB015),surface,9.473797220000769
2017-02-25,elliott (ELB015),surface,9.335270554857265
2017-02-26,elliott (ELB015),surface,9.484611486746237
2017-02-27,elliott (ELB015),surface,9.436709188440801
2017-02-28,elliott (ELB015),surface,9.205019857413747
2017-03-01,elliott (ELB015),surface,9.15429712521045
2017-03-02,elliott (ELB015),surface,9.235059912571993
2017-03-03,elliott (ELB015),surface,9.143077634543733
2017-03-04,elliott (ELB015),surface,9.08901320840799
2017-03-05,elliott (ELB015),surface,9.051826314559463
2017-03-06,elliott (ELB015),surface,8.955927174225426
2017-03-07,elliott (ELB015),surface,9.01373806604475
2017-03-08,elliott (ELB015),surface,9.065811421106215
2017-03-09,elliott (ELB015),surface,9.13887719988137
2017-03-10,elliott (ELB015),surface,8.76867354841156
2017-03-11,elliott (ELB015),surface,8.820768172040825
2017-03-12,elliott (ELB015),surface,8.830612425201924
2017-03-13,elliott (ELB015),surface,8.803370006111074
2017-03-14,elliott (ELB015),surface,8.78634935377896
2017-03-15,elliott (ELB015),surface,8.76415873402461
2017-03-16,elliott (ELB015),surface,8.641533350000572
2017-03-17,elliott (ELB015),surface,8.895757058642717
2017-03-18,elliott (ELB015),surface,8.962683384612879
2017-03-19,elliott (ELB015),surface,8.964847391823588
2017-03-20,elliott (ELB015),surface,9.353347750836113
2017-03-21,elliott (ELB015),surface,9.409131706616325
2017-03-22,elliott (ELB015),surface,9.907609277096961
2017-03-23,elliott (ELB015),surface,10.24141488164279
2017-03-24,elliott (ELB015),surface,10.350670353712417
2017-03-25,elliott (ELB015),surface,10.315984845121559
2017-03-26,elliott (ELB015),surface,10.187220502551881
2017-03-27,elliott (ELB015),surface,9.899265077977025
2017-03-28,elliott (ELB015),surface,9.831903161170624
2017-03-29,elliott (ELB015),surface,9.529302673023945
2017-03-30,elliott (ELB015),surface,9.345805445805473
2017-03-31,elliott (ELB015),surface,9.359783453889314
2017-04-01,elliott (ELB015),surface,9.667334985515408
2017-04-02,elliott (ELB015),surface,9.857125361267618
2017-04-03,elliott (ELB015),surface,10.005860791254445
2017-04-04,elliott (ELB015),surface,10.162983766765441
2017-04-05,elliott (ELB015),surface,10.444409832348313
2017-04-06,elliott (ELB015),surface,10.70665641458064
2017-04-07,elliott (ELB015),surface,10.57868838638041
2017-04-08,elliott (ELB015),surface,9.994737666771357
2017-04-09,elliott (ELB015),surface,9.98191639866466
2017-04-10,elliott (ELB015),surface,9.757671434327554
2017-04-11,elliott (ELB015),surface,9.607365800677458
2017-04-12,elliott (ELB015),surface,9.269430296221271
2017-04-13,elliott (ELB015),surface,9.403514855232192
2017-04-14,elliott (ELB015),surface,9.98591088504284
2017-04-15,elliott (ELB015),surface,9.976647406546224
2017-04-16,elliott (ELB015),surface,10.151790742412292
2017-04-17,elliott (ELB015),surface,9.671971947278381
2017-04-18,elliott (ELB015),surface,10.192661475001097
2017-04-19,elliott (ELB015),surface,10.6516031459578
2017-04-20,elliott (ELB015),surface,10.983546949544099
2017-04-21,elliott (ELB015),surface,11.388344678555214
2017-04-22,elliott (ELB015),surface,10.863700870486218
2017-04-23,elliott (ELB015),surface,10.517533859448971
2017-04-24,elliott (ELB015),surface,10.952073328360502
2017-04-25,elliott (ELB015),surface,10.849386274828381
2017-04-26,elliott (ELB015),surface,10.452581743528778
2017-04-27,elliott (ELB015),surface,10.611119289536603
2017-04-28,elliott (ELB015),surface,10.606577447164286
2017-04-29,elliott (ELB015),surface,10.443276303285844
2017-04-30,elliott (ELB015),surface,10.540068846350476
2017-05-01,elliott (ELB015),surface,10.481681762767593
2017-05-02,elliott (ELB015),surface,10.77372554779972
2017-05-03,elliott (ELB015),surface,10.755033984060928
2017-05-04,elliott (ELB015),surface,10.917024254271041
2017-05-05,elliott (ELB015),surface,10.715080985484402
2017-05-06,elliott (ELB015),surface,10.571667735997845
2017-05-07,elliott (ELB015),surface,10.66547654027592
2017-05-08,elliott (ELB015),surface,10.828948826285876
2017-05-09,elliott (ELB015),surface,10.938659926930141
2017-05-10,elliott (ELB015),surface,11.44785796746899
2017-05-11,elliott (ELB015),surface,11.859831907584727
2017-05-12,elliott (ELB015),surface,11.971677865742256
2017-05-13,elliott (ELB015),surface,11.931596362408694
2017-05-14,elliott (ELB015),surface,11.601001277917712
2017-05-15,elliott (ELB015),surface,11.355469931025041
2017-05-16,elliott (ELB015),surface,10.900975123376424
2017-05-17,elliott (ELB015),surface,10.509960547911625
2017-05-18,elliott (ELB015),surface,10.725155610493667
2017-05-19,elliott (ELB015),surface,10.596098924715372
2017-05-20,elliott (ELB015),surface,10.68132999878017
2017-05-21,elliott (ELB015),surface,11.06902813111742
2017-05-22,elliott (ELB015),surface,11.501467766707878
2017-05-23,elliott (ELB015),surface,11.851884375539715
2017-05-24,elliott (ELB015),surface,11.606180017373248
2017-05-25,elliott (ELB015),surface,11.636624878130908
2017-05-26,elliott (ELB015),surface,11.991766754099629
2017-05-27,elliott (ELB015),surface,12.051885131732634
2017-05-28,elliott (ELB015),surface,11.976114072942421
2017-05-29,elliott (ELB015),surface,11.961224817010864
2017-05-30,elliott (ELB015),surface,11.707203362617955
2017-05-31,elliott (ELB015),surface,11.764980070140265
2017-06-01,elliott (ELB015),surface,11.618117099083527
2017-06-02,elliott (ELB015),surface,11.647298693428855
2017-06-03,elliott (ELB015),surface,11.720504308022154
2017-06-04,elliott (ELB015),surface,11.000881213781414
2017-06-05,elliott (ELB015),surface,10.828288337936375
2017-06-06,elliott (ELB015),surface,11.161132658617932
2017-06-07,elliott (ELB015),surface,11.647368257453907
2017-06-08,elliott (ELB015),surface,12.197674538038484
2017-06-09,elliott (ELB015),surface,11.932945028919164
2017-06-10,elliott (ELB015),surface,12.036271110105591
2017-06-11,elliott (ELB015),surface,11.758076939271367
2017-06-12,elliott (ELB015),surface,11.60831817374685
2017-06-13,elliott (ELB015),surface,11.278086211645514
2017-06-14,elliott (ELB015),surface,11.278221347072593
2017-06-15,elliott (ELB015),surface,11.431908585602176
2017-06-16,elliott (ELB015),surface,11.079772593365238
2017-06-17,elliott (ELB015),surface,11.008924161966235
2017-06-18,elliott (ELB015),surface,11.31837224869201
2017-06-19,elliott (ELB015),surface,11.099535161819897
2017-06-20,elliott (ELB015),surface,10.439520857655781
2017-06-21,elliott (ELB015),surface,10.521210441727371
2017-06-22,elliott (ELB015),surface,10.528315234915516
2017-06-23,elliott (ELB015),surface,10.87600536123684
2017-06-24,elliott (ELB015),surface,11.056674749721235
2017-06-25,elliott (ELB015),surface,11.044238824504625
2017-06-26,elliott (ELB015),surface,11.170784155781066
2017-06-27,elliott (ELB015),surface,10.857296052106394
2017-06-28,elliott (ELB015),surface,11.072336243796116
2017-06-29,elliott (ELB015),surface,11.132875890552766
2017-06-30,elliott (ELB015),surface,10.98332375833533
2017-07-01,elliott (ELB015),surface,10.299774862198221
2017-07-02,elliott (ELB015),surface,10.689621369132716
2017-07-03,elliott (ELB015),surface,10.848055537782265
2017-07-04,elliott (ELB015),surface,10.788613060455054
2017-07-05,elliott (ELB015),surface,11.183381772312499
2017-07-06,elliott (ELB015),surface,11.82541353252157
2017-07-07,elliott (ELB015),surface,12.1396434009078
2017-07-08,elliott (ELB015),surface,12.510231221867453
2017-07-09,elliott (ELB015),surface,12.196822601707108
2017-07-10,elliott (ELB015),surface,11.720272906997787
2017-07-11,elliott (ELB015),surface,11.532715488717711
2017-07-12,elliott (ELB015),surface,11.57890890555637
2017-07-13,elliott (ELB015),surface,11.656827098422871
2017-07-14,elliott (ELB015),surface,11.553609880594705
2017-07-15,elliott (ELB015),surface,11.425184720113013
2017-07-16,elliott (ELB015),surface,11.067023427993217
2017-07-17,elliott (ELB015),surface,11.208736114399628
2017-07-18,elliott (ELB015),surface,10.830655429395918
2017-07-19,elliott (ELB015),surface,10.960160816081093
2017-07-20,elliott (ELB015),surface,11.057017714521413
2017-07-21,elliott (ELB015),surface,11.154025518303229
2017-07-22,elliott (ELB015),surface,10.896375179354314
2017-07-23,elliott (ELB015),surface,10.615960842330395
2017-07-24,elliott (ELB015),surface,10.108746770758716
2017-07-25,elliott (ELB015),surface,9.710243405512303
2017-07-26,elliott (ELB015),surface,9.55085941877721
2017-07-27,elliott (ELB015),surface,9.687089011137816
2017-07-28,elliott (ELB015),surface,9.797491786521931
2017-07-29,elliott (ELB015),surface,9.493716555848092
2017-07-30,elliott (ELB015),surface,9.20091770988732
2017-07-31,elliott (ELB015),surface,9.329443766546163
2017-08-01,elliott (ELB015),surface,9.472578037773232
2017-08-02,elliott (ELB015),surface,9.622761603170538
2017-08-03,elliott (ELB015),surface,9.952475023530326
2017-08-04,elliott (ELB015),surface,10.284166381864134
2017-08-05,elliott (ELB015),surface,10.667519667114021
2017-08-06,elliott (ELB015),surface,10.813316352139154
2017-08-07,elliott (ELB015),surface,10.43139519244941
2017-08-08,elliott (ELB015),surface,9.696540723089853
2017-08-09,elliott (ELB015),surface,9.687107435521515
2017-08-10,elliott (ELB015),surface,9.866617284357858
2017-08-11,elliott (ELB015),surface,9.92628463912766
2017-08-12,elliott (ELB015),surface,10.203470738689358
2017-08-13,elliott (ELB015),surface,10.055880444755754
2017-08-14,elliott (ELB015),surface,9.344876138815394
2017-08-15,elliott (ELB015),surface,8.64123348422255
2017-08-16,elliott (ELB015),surface,8.682062524124301
2017-08-17,elliott (ELB015),surface,8.917910600830725
2017-08-18,elliott (ELB015),surface,8.678299214283582
2017-08-19,elliott (ELB015),surface,8.869250095549635
2017-08-20,elliott (ELB015),surface,8.925991938211938
2017-08-21,elliott (ELB015),surface,9.020108969066916
2017-08-22,elliott (ELB015),surface,8.891996095707281
2017-08-23,elliott (ELB015),surface,8.765333674381877
2017-08-24,elliott (ELB015),surface,8.983560230676739
2017-08-25,elliott (ELB015),surface,8.642782422437945
2017-08-26,elliott (ELB015),surface,8.263442382775692
2017-08-27,elliott (ELB015),surface,8.047832623335726
2017-08-28,elliott (ELB015),surface,8.126595458619555
2017-08-29,elliott (ELB015),surface,8.4931597019836
2017-08-30,elliott (ELB015),surface,8.807908581803286
2017-08-31,elliott (ELB015),surface,8.535071466572115
2017-09-01,elliott (ELB015),surface,8.443117542686368
2017-09-02,elliott (ELB015),surface,8.182792551147939
2017-09-03,elliott (ELB015),surface,8.126397010948827
2017-09-04,elliott (ELB015),surface,8.194616799838473
2017-09-05,elliott (ELB015),surface,8.40757921858619
2017-09-06,elliott (ELB015),surface,8.707416672255034
2017-09-07,elliott (ELB015),surface,8.98766343813222
2017-09-08,elliott (ELB015),surface,9.289689143605914
2017-09-09,elliott (ELB015),surface,8.81023214321398
2017-09-10,elliott (ELB015),surface,8.291736588533578
2017-09-11,elliott (ELB015),surface,7.9903243955927445
2017-09-12,elliott (ELB015),surface,7.3103238283878476
2017-09-13,elliott (ELB015),surface,7.245780322751523
2017-09-14,elliott (ELB015),surface,7.127255853515641
2017-09-15,elliott (ELB015),surface,7.07690509724437
2017-09-16,elliott (ELB015),surface,7.304820444360229
2017-09-17,elliott (ELB015),surface,7.615982270435982
2017-09-18,elliott (ELB015),surface,7.718891473207961
2017-09-19,elliott (ELB015),surface,7.475682900912798
2017-09-20,elliott (ELB015),surface,7.2346809386825415
2017-09-21,elliott (ELB015),surface,6.714045779285281
2017-09-22,elliott (ELB015),surface,6.586616101658035
2017-09-23,elliott (ELB015),surface,6.541160847454402
2017-09-24,elliott (ELB015),surface,6.482627619612193
2017-09-25,elliott (ELB015),surface,6.606524843746611
2017-09-26,elliott (ELB015),surface,6.492737340848773
2017-09-27,elliott (ELB015),surface,6.898466735301072
2017-09-28,elliott (ELB015),surface,6.952443461147855
2017-09-29,elliott (ELB015),surface,7.121262413612903
2017-09-30,elliott (ELB015),surface,7.256838346598738
2017-10-01,elliott (ELB015),surface,7.617862103664096
2017-10-02,elliott (ELB015),surface,7.8640974136009225
2017-10-03,elliott (ELB015),surface,7.377079804736104
2017-10-04,elliott (ELB015),surface,6.900241361901567
2017-10-05,elliott (ELB015),surface,6.676953771134614
2017-10-06,elliott (ELB015),surface,7.191196859752954
2017-10-07,elliott (ELB015),surface,7.467539297106842
2017-10-08,elliott (ELB015),surface,7.596827146689027
2017-10-09,elliott (ELB015),surface,7.2885354016791775
2017-10-10,elliott (ELB015),surface,6.997065323177593
2017-10-11,elliott (ELB015),surface,6.850323680664735
2017-10-12,elliott (ELB015),surface,6.678479388518908
2017-10-13,elliott (ELB015),surface,6.522461335974161
2017-10-14,elliott (ELB015),surface,6.619963623131731
2017-10-15,elliott (ELB015),surface,6.367301729026257
2017-10-16,elliott (ELB015),surface,6.240280606829725
2017-10-17,elliott (ELB015),surface,6.438593524687252
2017-10-18,elliott (ELB015),surface,6.590964083985561
2017-10-19,elliott (ELB015),surface,6.578863389116834
2017-10-20,elliott (ELB015),surface,6.83080255633718
2017-10-21,elliott (ELB015),surface,6.933514407435543
2017-10-22,elliott (ELB015),surface,6.663447999804641
2017-10-23,elliott (ELB015),surface,6.8857345014421325
2017-10-24,elliott (ELB015),surface,6.826670642247414
2017-10-25,elliott (ELB015),surface,6.727895208220988
2017-10-26,elliott (ELB015),surface,6.776625974101834
2017-10-27,elliott (ELB015),surface,6.8540760636901386
2017-10-28,elliott (ELB015),surface,7.1992869566299635
2017-10-29,elliott (ELB015),surface,7.4439549785602885
2017-10-30,elliott (ELB015),surface,7.434506294290878
2017-10-31,elliott (ELB015),surface,7.252207956723568
2017-11-01,elliott (ELB015),surface,8.158174158335427
2017-11-02,elliott (ELB015),surface,8.365920803731756
2017-11-03,elliott (ELB015),surface,8.464316734107442
2017-11-04,elliott (ELB015),surface,7.64955596464359
2017-11-05,elliott (ELB015),surface,7.384460351892373
2017-11-06,elliott (ELB015),surface,7.375607044516208
2017-11-07,elliott (ELB015),surface,7.270126242649717
2017-11-08,elliott (ELB015),surface,7.222806971820257
2017-11-09,elliott (ELB015),surface,7.032682303183471
2017-11-10,elliott (ELB015),surface,6.882316329718852
2017-11-11,elliott (ELB015),surface,6.793952873487027
2017-11-12,elliott (ELB015),surface,6.635413374730565
2017-11-13,elliott (ELB015),surface,6.753368624551854
2017-11-14,elliott (ELB015),surface,7.153005726090556
2017-11-15,elliott (ELB015),surface,7.207765035172391
2017-11-16,elliott (ELB015),surface,7.196864937973051
2017-11-17,elliott (ELB015),surface,7.045573213963826
2017-11-18,elliott (ELB015),surface,6.944696129620103
2017-11-19,elliott (ELB015),surface,6.870664881243115
2017-11-20,elliott (ELB015),surface,6.9879616309879635
2017-11-21,elliott (ELB015),surface,6.995212841888823
2017-11-22,elliott (ELB015),surface,6.938298793900738
2017-11-23,elliott (ELB015),surface,7.122178563347045
2017-11-24,elliott (ELB015),surface,7.350910491808292
2017-11-25,elliott (ELB015),surface,7.530630463217993
2017-11-26,elliott (ELB015),surface,7.432918630747011
2017-11-27,elliott (ELB015),surface,7.546801318771185
2017-11-28,elliott (ELB015),surface,7.746986019750621
2017-11-29,elliott (ELB015),surface,7.76396928145271
2017-11-30,elliott (ELB015),surface,7.873898710493275
2017-12-01,elliott (ELB015),surface,7.9604445984398415
2017-12-02,elliott (ELB015),surface,7.947100644239848
2017-12-03,elliott (ELB015),surface,7.7895402105715394
2017-12-04,elliott (ELB015),surface,7.802562836657871
2017-12-05,elliott (ELB015),surface,7.885662365752452
2017-12-06,elliott (ELB015),surface,7.858684338750456
2017-12-07,elliott (ELB015),surface,7.8598182586451255
2017-12-08,elliott (ELB015),surface,8.105313830687637
2017-12-09,elliott (ELB015),surface,8.075258370577341
2017-12-10,elliott (ELB015),surface,8.11994897477664
2017-12-11,elliott (ELB015),surface,7.836479590933597
2017-12-12,elliott (ELB015),surface,7.805080402168619
2017-12-13,elliott (ELB015),surface,7.688278440867704
2017-12-14,elliott (ELB015),surface,7.538125960937308
2017-12-15,elliott (ELB015),surface,7.595977505055086
2017-12-16,elliott (ELB015),surface,8.126528854388603
2017-12-17,elliott (ELB015),surface,8.25725146430458
2017-12-18,elliott (ELB015),surface,8.32309850434123
2017-12-19,elliott (ELB015),surface,7.777546530123182
2017-12-20,elliott (ELB015),surface,7.9245252061702915
2017-12-21,elliott (ELB015),surface,7.926217512118474
2017-12-22,elliott (ELB015),surface,8.081499880087462
2017-12-23,elliott (ELB015),surface,7.994706244220059
2017-12-24,elliott (ELB015),surface,7.880010109652368
2017-12-25,elliott (ELB015),surface,8.423562604827591
2017-12-26,elliott (ELB015),surface,8.362807483275878
2017-12-27,elliott (ELB015),surface,8.028197720086771
2017-12-28,elliott (ELB015),surface,7.837136111047388
2017-12-29,elliott (ELB015),surface,8.065840548834416
2017-12-30,elliott (ELB015),surface,8.277498737003091
2017-12-31,elliott (ELB015),surface,7.9493261121613905
2017-01-01,elliott (ELB015),bottom,6.522995471954345
2017-01-02,elliott (ELB015),bottom,6.672042369842529
2017-01-03,elliott (ELB015),bottom,6.714945316314697
2017-01-04,elliott (ELB015),bottom,6.734251022338867
2017-01-05,elliott (ELB015),bottom,6.783107757568359
2017-01-06,elliott (ELB015),bottom,6.896854877471924
2017-01-07,elliott (ELB015),bottom,6.75999927520752
2017-01-08,elliott (ELB015),bottom,6.69027042388916
2017-01-09,elliott (ELB015),bottom,6.784390926361084
2017-01-10,elliott (ELB015),bottom,6.727339267730714
2017-01-11,elliott (ELB015),bottom,6.509693145751952
2017-01-12,elliott (ELB015),bottom,6.716867446899413
2017-01-13,elliott (ELB015),bottom,6.8517351150512695
2017-01-14,elliott (ELB015),bottom,6.728169918060303
2017-01-15,elliott (ELB015),bottom,6.756077766418457
2017-01-16,elliott (ELB015),bottom,6.778458595275878
2017-01-17,elliott (ELB015),bottom,6.758887767791748
2017-01-18,elliott (ELB015),bottom,6.698834419250489
2017-01-19,elliott (ELB015),bottom,6.641067504882813
2017-01-20,elliott (ELB015),bottom,6.579222202301025
2017-01-21,elliott (ELB015),bottom,6.532317638397217
2017-01-22,elliott (ELB015),bottom,6.472841262817383
2017-01-23,elliott (ELB015),bottom,6.408939361572266
2017-01-24,elliott (ELB015),bottom,6.433441638946534
