time,inlet,layer,DO_mgL
2017-01-24 19:52:32,elliott (ELB015),surface,7.9993663
2017-02-27 20:20:16,elliott (ELB015),surface,8.571088
2017-04-28 18:57:04,elliott (ELB015),surface,10.352967
2017-05-25 19:14:08,elliott (ELB015),surface,13.549511
2017-06-21 20:03:12,elliott (ELB015),surface,10.515233
2017-07-19 18:31:28,elliott (ELB015),surface,11.393221
2017-08-14 19:07:44,elliott (ELB015),surface,8.296389
2017-09-12 18:52:48,elliott (ELB015),surface,6.5299444
2017-10-06 18:18:40,elliott (ELB015),surface,6.0650334
2017-11-06 20:30:56,elliott (ELB015),surface,6.5138445
2017-12-11 20:35:12,elliott (ELB015),surface,7.31075
2017-01-24 19:52:32,elliott (ELB015),bottom,7.6733384
2017-02-27 20:20:16,elliott (ELB015),bottom,8.004642
2017-04-28 18:57:04,elliott (ELB015),bottom,8.422925
2017-05-25 19:14:08,elliott (ELB015),bottom,9.000359
2017-06-21 20:03:12,elliott (ELB015),bottom,7.7904587
2017-07-19 18:31:28,elliott (ELB015),bottom,7.216996
2017-08-14 19:07:44,elliott (ELB015),bottom,5.688519
2017-09-12 18:52:48,elliott (ELB015),bottom,5.1934423
2017-10-06 18:18:40,elliott (ELB015),bottom,5.0667634
2017-11-06 20:30:56,elliott (ELB015),bottom,5.89075
2017-12-11 20:35:12,elliott (ELB015),bottom,6.5481906
2017-02-27 17:46:40,commencement (CMB003),surface,8.427188
2017-03-30 17:04:00,commencement (CMB003),surface,
2017-04-28 17:04:00,commencement (CMB003),surface,9.611366
2017-05-25 17:14:40,commencement (CMB003),surface,14.161301
2017-06-21 22:34:40,commencement (CMB003),surface,
2017-07-19 16:32:00,commencement (CMB003),surface,13.291875
2017-08-14 16:57:36,commencement (CMB003),surface,9.033099
2017-09-12 16:49:04,commencement (CMB003),surface,6.2608333
2017-10-06 16:10:40,commencement (CMB003),surface,6.339978
2017-11-06 22:21:52,commencement (CMB003),surface,6.5438557
2017-12-11 22:47:28,commencement (CMB003),surface,7.288422
2017-02-27 17:46:40,commencement (CMB003),bottom,7.8111963
2017-03-30 17:04:00,commencement (CMB003),bottom,
2017-04-28 17:04:00,commencement (CMB003),bottom,7.770678
2017-05-25 17:14:40,commencement (CMB003),bottom,7.8043475
2017-06-21 22:34:40,commencement (CMB003),bottom,
2017-07-19 16:32:00,commencement (CMB003),bottom,5.8989205
2017-08-14 16:57:36,commencement (CMB003),bottom,5.4906354
2017-09-12 16:49:04,commencement (CMB003),bottom,5.267108
2017-10-06 16:10:40,commencement (CMB003),bottom,4.658549
2017-11-06 22:21:52,commencement (CMB003),bottom,5.186887
2017-12-11 22:47:28,commencement (CMB003),bottom,5.802105
2017-01-12 22:06:56,lynchcove (HCB007),surface,7.6667
2017-02-03 21:07:12,lynchcove (HCB007),surface,9.719237
2017-03-09 22:15:28,lynchcove (HCB007),surface,7.610866
2017-04-06 21:30:40,lynchcove (HCB007),surface,
2017-05-18 21:28:32,lynchcove (HCB007),surface,10.535512
2017-07-06 19:44:00,lynchcove (HCB007),surface,9.859676
2017-08-11 22:13:20,lynchcove (HCB007),surface,9.504199
2017-09-06 21:07:12,lynchcove (HCB007),surface,9.6989565
2017-10-05 20:54:24,lynchcove (HCB007),surface,10.575444
2017-11-02 20:43:44,lynchcove (HCB007),surface,10.526011
2017-12-13 22:38:56,lynchcove (HCB007),surface,6.052925
2017-01-12 22:06:56,lynchcove (HCB007),bottom,4.500793
2017-02-03 21:07:12,lynchcove (HCB007),bottom,5.9982767
2017-03-09 22:15:28,lynchcove (HCB007),bottom,2.131986
2017-04-06 21:30:40,lynchcove (HCB007),bottom,
2017-05-18 21:28:32,lynchcove (HCB007),bottom,5.04229
2017-07-06 19:44:00,lynchcove (HCB007),bottom,2.9606333
2017-08-11 22:13:20,lynchcove (HCB007),bottom,2.2404168
2017-09-06 21:07:12,lynchcove (HCB007),bottom,1.9653778
2017-10-05 20:54:24,lynchcove (HCB007),bottom,1.56679
2017-11-02 20:43:44,lynchcove (HCB007),bottom,2.7202334
2017-12-13 22:38:56,lynchcove (HCB007),bottom,2.423607
2017-01-12 22:43:12,lynchcove2 (HCB004),surface,7.7250996
2017-02-03 20:33:04,lynchcove2 (HCB004),surface,9.3035755
2017-03-09 21:39:12,lynchcove2 (HCB004),surface,8.241645
2017-04-06 20:58:40,lynchcove2 (HCB004),surface,
2017-05-18 20:52:16,lynchcove2 (HCB004),surface,10.784437
2017-06-08 22:13:20,lynchcove2 (HCB004),surface,10.394745
2017-07-06 19:03:28,lynchcove2 (HCB004),surface,9.719963
2017-08-11 21:41:20,lynchcove2 (HCB004),surface,10.125523
2017-09-06 20:26:40,lynchcove2 (HCB004),surface,9.2545
2017-10-05 20:11:44,lynchcove2 (HCB004),surface,11.04695
2017-11-02 20:11:44,lynchcove2 (HCB004),surface,9.312655
2017-12-13 22:00:32,lynchcove2 (HCB004),surface,6.910322
2017-01-12 22:43:12,lynchcove2 (HCB004),bottom,2.9292204
2017-02-03 20:33:04,lynchcove2 (HCB004),bottom,2.9053319
2017-03-09 21:39:12,lynchcove2 (HCB004),bottom,3.0158136
2017-04-06 20:58:40,lynchcove2 (HCB004),bottom,
2017-05-18 20:52:16,lynchcove2 (HCB004),bottom,4.1871963
2017-06-08 22:13:20,lynchcove2 (HCB004),bottom,4.347076
2017-07-06 19:03:28,lynchcove2 (HCB004),bottom,3.56252
2017-08-11 21:41:20,lynchcove2 (HCB004),bottom,3.2307596
2017-09-06 20:26:40,lynchcove2 (HCB004),bottom,2.5836632
2017-10-05 20:11:44,lynchcove2 (HCB004),bottom,2.2574189
2017-11-02 20:11:44,lynchcove2 (HCB004),bottom,3.5103965
2017-12-13 22:00:32,lynchcove2 (HCB004),bottom,2.4882019
2017-01-11 21:52:00,carr (CRR001),surface,8.378599
2017-03-08 18:29:20,carr (CRR001),surface,
2017-04-05 16:38:24,carr (CRR001),surface,
2017-05-19 20:33:04,carr (CRR001),surface,12.769037
2017-06-09 16:38:24,carr (CRR001),surface,11.433611
2017-07-07 18:40:00,carr (CRR001),surface,12.471544
2017-08-10 20:18:08,carr (CRR001),surface,11.576356
2017-09-07 20:54:24,carr (CRR001),surface,13.126866
2017-10-04 16:42:40,carr (CRR001),surface,9.338575
2017-11-03 20:09:36,carr (CRR001),surface,6.1112003
2017-12-08 20:20:16,carr (CRR001),surface,8.096123
2017-01-11 21:52:00,carr (CRR001),bottom,
2017-03-08 18:29:20,carr (CRR001),bottom,
2017-04-05 16:38:24,carr (CRR001),bottom,
2017-05-19 20:33:04,carr (CRR001),bottom,8.600737
2017-06-09 16:38:24,carr (CRR001),bottom,8.53979
2017-07-07 18:40:00,carr (CRR001),bottom,6.994459
2017-08-10 20:18:08,carr (CRR001),bottom,
2017-09-07 20:54:24,carr (CRR001),bottom,6.184713
2017-10-04 16:42:40,carr (CRR001),bottom,5.645517
2017-11-03 20:09:36,carr (CRR001),bottom,5.559867
2017-12-08 20:20:16,carr (CRR001),bottom,6.62355
2017-02-23 23:06:40,sinclair (SIN001),surface,8.949599
2017-04-28 22:17:36,sinclair (SIN001),surface,10.705956
2017-05-25 23:06:40,sinclair (SIN001),surface,14.750556
2017-06-21 20:52:16,sinclair (SIN001),surface,10.821144
2017-07-19 22:06:56,sinclair (SIN001),surface,11.446944
2017-08-14 22:21:52,sinclair (SIN001),surface,12.217889
2017-09-12 22:06:56,sinclair (SIN001),surface,8.366777
2017-10-23 17:01:52,sinclair (SIN001),surface,7.4421625
2017-02-23 23:06:40,sinclair (SIN001),bottom,8.092825
2017-04-28 22:17:36,sinclair (SIN001),bottom,9.25445
